split,filename,n_boxes,class_ids,primary_class,yolo_valid,width,height,aspect_ratio,format,readable,is_near_grayscale,md5
train,image_0_png.rf.cfe516e67ab27db4638d2ffad7553a0e.jpg,1,1,1,True,640,515,1.2427,JPEG,True,False,a52624ec429efb3df1a8f118d564804e
train,image_100_png.rf.6414f78f81b104a2eef6d200682cbdc0.jpg,1,0,0,True,640,426,1.5023,JPEG,True,False,e110e3a35b189ab9714e6f97ad4f57f5
train,image_101_png.rf.df06e3298dc4cd7387ef34a3f989ba65.jpg,1,1,1,True,622,640,0.9719,JPEG,True,False,a79aae687b654ceaf3706b433c9de2d8
train,image_102_png.rf.92b2170aab575ce4d75823ee3e8bbd75.jpg,1,0,0,True,640,431,1.4849,JPEG,True,False,6cc35f92813d40f135114f9b840f1f99
train,image_103_png.rf.3e24052b226bde505531dcb747dbdea8.jpg,1,1,1,True,640,359,1.7827,JPEG,True,False,9690ced1b40f98490acfc8e4a0abc2a3
train,image_103_png.rf.fddc04fae1f8911e2c940b9808a7dad1.jpg,1,0,0,True,640,464,1.3793,JPEG,True,False,1376c46f3cc03e7a2659fd7dfc88aa91
train,image_104_png.rf.7aa747bca69750e74ae0cc4670019882.jpg,1,1,1,True,640,548,1.1679,JPEG,True,False,3f995e811d0c4b62499e5db2b6447b48
train,image_104_png.rf.fa51de473ab8048fac6db5116cecdf23.jpg,1,0,0,True,640,442,1.448,JPEG,True,False,2e6b7e8cee9c3a7e4fe392569a2eb7c8
train,image_105_png.rf.94811ef060c6b9a99c8eb40e59492120.jpg,1,1,1,True,640,265,2.4151,JPEG,True,False,61cd1558288d32b21f6ff6dfaba6a9d8
train,image_105_png.rf.f73ed3c5d6424dad52fe78fc6a7e5f0e.jpg,1,0,0,True,640,426,1.5023,JPEG,True,False,36dc6d826de52c80908270d9d2bcb85a
train,image_106_png.rf.5a596ab4dc2dd9e3a939ac0f22efdbd6.jpg,1,1,1,True,640,524,1.2214,JPEG,True,False,e00b91f95de584a71c7a12e4d10bbe86
train,image_106_png.rf.cc24d364786873aa08532327c685b1da.jpg,1,0,0,True,640,427,1.4988,JPEG,True,False,c0236a810bb74888f0cd0f7ed045cd8e
train,image_107_png.rf.1437d2e76efd10dfe473c5abf4c66bde.jpg,1,0,0,True,640,426,1.5023,JPEG,True,False,b72658525e7ad7a307603b7fa3594a20
train,image_107_png.rf.697f4ec4b983f1744a8a492d08480c88.jpg,1,1,1,True,640,349,1.8338,JPEG,True,False,9851487adff114d902e3f4e28bb81281
train,image_108_png.rf.10bb0aca602319eb8f56618606f181ec.jpg,1,1,1,True,640,391,1.6368,JPEG,True,False,5ce828ca005e648218ee5fc4feca03b3
train,image_109_png.rf.2a1f3bf4102fe707e2ef46c1e3f467bb.jpg,1,0,0,True,640,427,1.4988,JPEG,True,False,4de72670584a2d5a181c3700a96feab4
train,image_10_png.rf.a25398ec847dc8eb4214b7ad355baa58.jpg,1,0,0,True,640,416,1.5385,JPEG,True,False,7e2f68321cc72ec8eaacd610a566a8ca
train,image_110_png.rf.a3eb562f7e730910d6676ab294b2d0d0.jpg,1,1,1,True,640,375,1.7067,JPEG,True,False,60085ec9d094afbb89b15b4fcf5317b9
