source_split,original_filename,crop_filename,original_width,original_height,crop_width,crop_height,class_id,disease_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,padding,quality_status,rejection_reason
train,PHOTO-2023-07-27-12-08-36_jpg.rf.5e2b7aae13bde64a4613048f6b1a8aef.jpg,PHOTO-2023-07-27-12-08-36_jpg.rf.5e2b7aae13bde64a4613048f6b1a8aef_box00.jpg,288,640,116,94,0,Cataract,0.4722222222222222,0.48125,0.3333333333333333,0.121875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-24_jpg.rf.801c68d38adb092b1f9dc0364c1584c7.jpg,PHOTO-2023-07-27-12-41-24_jpg.rf.801c68d38adb092b1f9dc0364c1584c7_box00.jpg,640,640,188,138,1,Normal,0.440625,0.5015625,0.24375,0.1796875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-25-1-_jpg.rf.b4bf9c5cb1701882147b61f45f98ffdf.jpg,PHOTO-2023-07-27-12-41-25-1-_jpg.rf.b4bf9c5cb1701882147b61f45f98ffdf_box00.jpg,640,640,180,138,0,Cataract,0.409375,0.4703125,0.2328125,0.1796875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-25-2-_jpg.rf.945906016fade168a4b16cd72878c997.jpg,PHOTO-2023-07-27-12-41-25-2-_jpg.rf.945906016fade168a4b16cd72878c997_box00.jpg,640,640,160,132,0,Cataract,0.390625,0.5234375,0.20625,0.1703125,0.1,accepted,
train,PHOTO-2023-07-27-12-41-25_jpg.rf.c98d9c8aae6603ed3b36bec4bfc17697.jpg,PHOTO-2023-07-27-12-41-25_jpg.rf.c98d9c8aae6603ed3b36bec4bfc17697_box00.jpg,640,640,160,138,0,Cataract,0.4,0.6375,0.20625,0.1796875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-26-1-_jpg.rf.c198c3181be9a1706c0a8eaa4214106c.jpg,PHOTO-2023-07-27-12-41-26-1-_jpg.rf.c198c3181be9a1706c0a8eaa4214106c_box00.jpg,640,640,120,100,0,Cataract,0.4609375,0.421875,0.1546875,0.1296875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-27-1-_jpg.rf.805b546fefea133ae2e5993506ee7ab7.jpg,PHOTO-2023-07-27-12-41-27-1-_jpg.rf.805b546fefea133ae2e5993506ee7ab7_box00.jpg,640,640,152,130,1,Normal,0.365625,0.5609375,0.196875,0.16875,0.1,accepted,
train,PHOTO-2023-07-27-12-41-27_jpg.rf.1cdead130d161f1c887caf9b7ae6efce.jpg,PHOTO-2023-07-27-12-41-27_jpg.rf.1cdead130d161f1c887caf9b7ae6efce_box00.jpg,640,640,140,144,1,Normal,0.4015625,0.496875,0.18125,0.1859375,0.1,accepted,
train,PHOTO-2023-07-27-12-41-29_jpg.rf.417a4885d82532b7dfff49ca4e439489.jpg,PHOTO-2023-07-27-12-41-29_jpg.rf.417a4885d82532b7dfff49ca4e439489_box00.jpg,480,640,100,74,1,Normal,0.5291666666666667,0.2546875,0.17083333333333334,0.0953125,0.1,accepted,
train,i_1000_jpg.rf.437f1b0577d245f9e5349afc0fec6392.jpg,i_1000_jpg.rf.437f1b0577d245f9e5349afc0fec6392_box00.jpg,56,56,25,20,0,Cataract,0.39999999999999997,0.5201785714285714,0.3432142857142857,0.25607142857142856,0.1,accepted,
train,i_1001_jpg.rf.ac194b99712e80456f929aa8a7cb9fb8.jpg,i_1001_jpg.rf.ac194b99712e80456f929aa8a7cb9fb8_box00.jpg,55,55,23,17,0,Cataract,0.4627272727272727,0.4816363636363636,0.3332727272727272,0.2290909090909091,0.1,accepted,
train,i_1003_jpg.rf.f19fdacfd6ed3fb55f20dce72ee0fd8c.jpg,i_1003_jpg.rf.f19fdacfd6ed3fb55f20dce72ee0fd8c_box00.jpg,50,50,20,17,0,Cataract,0.462,0.511,0.31079999999999997,0.2256,0.1,accepted,
train,i_1005_jpg.rf.a134d3b24e7796b6dc3ec601f99f156f.jpg,i_1005_jpg.rf.a134d3b24e7796b6dc3ec601f99f156f_box00.jpg,47,47,20,15,0,Cataract,0.4702127659574468,0.4525531914893617,0.3151063829787234,0.2202127659574468,0.1,rejected,min_resolution:20x15<16
train,i_1006_jpg.rf.dbaaa4eb244c4e07130e2cd2f7beea03.jpg,i_1006_jpg.rf.dbaaa4eb244c4e07130e2cd2f7beea03_box00.jpg,50,50,20,16,0,Cataract,0.5212,0.4414,0.3134,0.22640000000000002,0.1,accepted,
train,i_1007_jpg.rf.006668e30a37f42b1e71e2d1b6413c16.jpg,i_1007_jpg.rf.006668e30a37f42b1e71e2d1b6413c16_box00.jpg,45,45,18,16,0,Cataract,0.5515555555555556,0.5384444444444445,0.27711111111111114,0.2437777777777778,0.1,accepted,
train,i_100_jpg.rf.1fe652711f747a1da5ad96d882c776c4.jpg,i_100_jpg.rf.1fe652711f747a1da5ad96d882c776c4_box00.jpg,175,177,44,32,0,Cataract,0.47359999999999997,0.5746327683615818,0.20434285714285713,0.14604519774011301,0.1,accepted,
train,i_1010_jpg.rf.882134b4f038a8f47253e75c6bd75eb8.jpg,i_1010_jpg.rf.882134b4f038a8f47253e75c6bd75eb8_box00.jpg,58,58,22,19,0,Cataract,0.5512068965517242,0.5244827586206897,0.2874137931034483,0.25310344827586206,0.1,accepted,
train,i_1011_jpg.rf.b6bfb0a36e4236fbb8e1ab5be5a4eeb2.jpg,i_1011_jpg.rf.b6bfb0a36e4236fbb8e1ab5be5a4eeb2_box00.jpg,64,64,23,16,0,Cataract,0.54984375,0.50625,0.276875,0.170625,0.1,accepted,
train,i_1014_jpg.rf.035cff8739ed3465e9655c6086174ab8.jpg,i_1014_jpg.rf.035cff8739ed3465e9655c6086174ab8_box00.jpg,63,63,23,19,0,Cataract,0.6214285714285714,0.5111111111111112,0.2853968253968254,0.2242857142857143,0.1,accepted,
train,i_1016_jpg.rf.23a6cb3973ac0e7766702dddc044dc9c.jpg,i_1016_jpg.rf.23a6cb3973ac0e7766702dddc044dc9c_box00.jpg,73,73,26,23,0,Cataract,0.5352054794520548,0.5104109589041096,0.28013698630136985,0.24986301369863012,0.1,accepted,
train,i_1020_jpg.rf.0fe26522f3624e5b429c8a6b14e378cf.jpg,i_1020_jpg.rf.0fe26522f3624e5b429c8a6b14e378cf_box00.jpg,55,55,23,19,0,Cataract,0.5736363636363636,0.5232727272727273,0.3367272727272727,0.24981818181818183,0.1,accepted,
