source_split,original_filename,crop_filename,original_width,original_height,crop_width,crop_height,class_id,disease_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,padding,quality_status,rejection_reason
train,i_1005_jpg.rf.a134d3b24e7796b6dc3ec601f99f156f.jpg,i_1005_jpg.rf.a134d3b24e7796b6dc3ec601f99f156f_box00.jpg,47,47,20,15,0,Cataract,0.4702127659574468,0.4525531914893617,0.3151063829787234,0.2202127659574468,0.1,rejected,min_resolution:20x15<16
train,i_1036_jpg.rf.5a274d970129739935ebba42e4c22555.jpg,i_1036_jpg.rf.5a274d970129739935ebba42e4c22555_box00.jpg,41,41,19,14,0,Cataract,0.6478048780487805,0.4658536585365854,0.3619512195121951,0.20585365853658535,0.1,rejected,min_resolution:19x14<16
train,i_1040_jpg.rf.75767ae5aae2af0093a4af4b2b94c686.jpg,i_1040_jpg.rf.75767ae5aae2af0093a4af4b2b94c686_box00.jpg,49,49,20,14,0,Cataract,0.5320408163265307,0.4563265306122449,0.28959183673469385,0.1783673469387755,0.1,rejected,min_resolution:20x14<16
train,i_1041_jpg.rf.6bc84f606456144026b244b7a345c3dc.jpg,i_1041_jpg.rf.6bc84f606456144026b244b7a345c3dc_box00.jpg,48,48,19,13,0,Cataract,0.6745833333333334,0.43291666666666667,0.3020833333333333,0.16104166666666667,0.1,rejected,min_resolution:19x13<16|min_area:247<256
train,i_1052_jpg.rf.8170a728d57b06e72890f6979aee8162.jpg,i_1052_jpg.rf.8170a728d57b06e72890f6979aee8162_box00.jpg,47,47,22,15,0,Cataract,0.43,0.5036170212765958,0.3502127659574468,0.22297872340425534,0.1,rejected,min_resolution:22x15<16
train,i_1055_jpg.rf.ab29972053b0aeecfe90c51f61f66c9d.jpg,i_1055_jpg.rf.ab29972053b0aeecfe90c51f61f66c9d_box00.jpg,47,47,17,15,0,Cataract,0.6027659574468085,0.5259574468085106,0.26,0.2202127659574468,0.1,rejected,min_resolution:17x15<16|min_area:255<256
train,i_1059_jpg.rf.2e1fef537e2bdada17a6148948b153ee.jpg,i_1059_jpg.rf.2e1fef537e2bdada17a6148948b153ee_box00.jpg,46,46,19,14,0,Cataract,0.573695652173913,0.5297826086956522,0.28804347826086957,0.19869565217391305,0.1,rejected,min_resolution:19x14<16
train,i_1061_jpg.rf.49ee922843deed2b193b406ca974fd61.jpg,i_1061_jpg.rf.49ee922843deed2b193b406ca974fd61_box00.jpg,47,47,19,13,0,Cataract,0.5393617021276597,0.512127659574468,0.285531914893617,0.17127659574468088,0.1,rejected,min_resolution:19x13<16|min_area:247<256
train,i_1064_jpg.rf.b6799b5243b8154aede6886de80be196.jpg,i_1064_jpg.rf.b6799b5243b8154aede6886de80be196_box00.jpg,42,42,15,14,0,Cataract,0.5633333333333334,0.5497619047619048,0.24071428571428571,0.19761904761904764,0.1,rejected,min_resolution:15x14<16|min_area:210<256
train,i_1066_jpg.rf.4f9e52e95e7cea690dbc8f2ab66207c7.jpg,i_1066_jpg.rf.4f9e52e95e7cea690dbc8f2ab66207c7_box00.jpg,46,46,18,15,0,Cataract,0.6084782608695651,0.5193478260869565,0.295,0.21956521739130433,0.1,rejected,min_resolution:18x15<16
train,i_1068_jpg.rf.2e26cd9e6ae0947e8e9ee54f9f187a17.jpg,i_1068_jpg.rf.2e26cd9e6ae0947e8e9ee54f9f187a17_box00.jpg,47,47,17,15,0,Cataract,0.6514893617021277,0.522127659574468,0.26787234042553193,0.19319148936170213,0.1,rejected,min_resolution:17x15<16|min_area:255<256
train,i_1069_jpg.rf.9d470a18d5b45e2b3fdad87d6942e792.jpg,i_1069_jpg.rf.9d470a18d5b45e2b3fdad87d6942e792_box00.jpg,45,45,18,15,0,Cataract,0.5595555555555556,0.5253333333333333,0.29288888888888887,0.23155555555555554,0.1,rejected,min_resolution:18x15<16
train,i_1081_jpg.rf.ec250424ba9921be4e4540ea5fd7dc13.jpg,i_1081_jpg.rf.ec250424ba9921be4e4540ea5fd7dc13_box00.jpg,56,56,20,13,0,Cataract,0.5155357142857143,0.5119642857142858,0.25910714285714287,0.15017857142857144,0.1,rejected,min_resolution:20x13<16
train,i_1089_jpg.rf.719b6d2dee675177d3fba4b4e8159037.jpg,i_1089_jpg.rf.719b6d2dee675177d3fba4b4e8159037_box00.jpg,58,58,16,12,0,Cataract,0.5406896551724137,0.528448275862069,0.19327586206896552,0.11982758620689656,0.1,rejected,min_resolution:16x12<16|min_area:192<256
train,i_1145_jpg.rf.e1b2f20ce4b7b770953ae2c7e2eabbba.jpg,i_1145_jpg.rf.e1b2f20ce4b7b770953ae2c7e2eabbba_box00.jpg,41,41,14,12,0,Cataract,0.6141463414634146,0.511219512195122,0.22634146341463413,0.17097560975609755,0.1,rejected,min_resolution:14x12<16|min_area:168<256
