image_path,predicted_class,confidence,heatmap_shape
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_43808_0100_PP.png,2,0.37484461069107056,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44261_0100_PP.png,2,0.49624866247177124,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44284_0100_PP.png,0,0.41935834288597107,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44338_0100_PP.png,1,0.4079594910144806,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44400_0100_PP.png,1,0.4391067624092102,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44431_0100_PP.png,2,0.5552841424942017,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_44982_0100_PP.png,0,0.6859017014503479,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_56791_0100_PP.png,0,0.5555497407913208,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_57157_0100_PP.png,2,0.4719906747341156,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_57967_0100_PP.png,0,0.75351482629776,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_58065_0100_PP.png,0,0.6564275622367859,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_61757_0100_PP.png,2,0.4397623836994171,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_62577_0100_PP.png,0,0.5121923685073853,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_62615_0100_PP.png,0,0.3929528295993805,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_63269_0100_PP.png,0,0.5077419877052307,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_63337_0100_PP.png,0,0.7258777022361755,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_64249_0100_PP.png,0,0.6459323167800903,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_64388_0100_PP.png,0,0.46150141954421997,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051020_64836_0100_PP.png,0,0.5469695925712585,"(7, 7)"
d:\Practice Projects\Disease Detection\dataset\Messidor-2+EyePac_Balanced\0\20051021_36380_0100_PP.png,0,0.6249287128448486,"(7, 7)"
