image_path,true_class_id,true_disease,predicted_class_id,predicted_disease,confidence,correct_prediction,prob_normal,prob_cataract,prob_diabetic_retinopathy,prob_glaucoma,is_glaucoma_correct,error_type
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_28_7296137.jpg,3,Glaucoma,1,Cataract,0.5652755498886108,False,0.0309457965195179,0.5652755498886108,2.9921727673354326e-06,0.4037756323814392,False,Glaucoma misclassified as Cataract
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1247_right.jpg,3,Glaucoma,0,Normal,0.4984953999519348,False,0.4984953999519348,0.13771593570709229,0.1575920730829239,0.2061966210603714,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_124_11722.jpg,3,Glaucoma,3,Glaucoma,0.9491299390792847,True,0.05021815747022629,0.0005431100144051015,0.00010873237624764442,0.9491299390792847,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\284.jpg,3,Glaucoma,3,Glaucoma,0.5259148478507996,True,0.47332412004470825,0.0007331394590437412,2.7915675673284568e-05,0.5259148478507996,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_174_2440424.jpg,3,Glaucoma,3,Glaucoma,0.8081469535827637,True,0.1885654628276825,0.0010608722222968936,0.0022266944870352745,0.8081469535827637,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_0_4517448.jpg,3,Glaucoma,3,Glaucoma,0.9837270975112915,True,0.015897905454039574,9.238430607183545e-07,0.00037402735324576497,0.9837270975112915,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1877.jpg,3,Glaucoma,0,Normal,0.7398263216018677,False,0.7398263216018677,0.02069123089313507,0.004521505441516638,0.2349608838558197,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2512.jpg,3,Glaucoma,0,Normal,0.6780157089233398,False,0.6780157089233398,0.0005319139454513788,0.0027753834147006273,0.31867703795433044,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_258_6391320.jpg,3,Glaucoma,1,Cataract,0.9985835552215576,False,0.0008582603768445551,0.9985835552215576,8.677596952111344e-07,0.0005573678645305336,False,Glaucoma misclassified as Cataract
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_940.jpg,3,Glaucoma,0,Normal,0.8482770919799805,False,0.8482770919799805,0.002677538665011525,0.0016360670560970902,0.1474093347787857,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\306.jpg,3,Glaucoma,0,Normal,0.6442626714706421,False,0.6442626714706421,0.0001861217460827902,0.0006492803222499788,0.35490188002586365,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_251_8769594.jpg,3,Glaucoma,3,Glaucoma,0.9722028970718384,True,0.027751756832003593,5.831450380355818e-07,4.473726585274562e-05,0.9722028970718384,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_204_7650115.jpg,3,Glaucoma,3,Glaucoma,0.9361668229103088,True,0.023988453671336174,0.03163793310523033,0.008206724189221859,0.9361668229103088,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_240_968094.jpg,3,Glaucoma,3,Glaucoma,0.8481295108795166,True,0.14744418859481812,0.0005190326482988894,0.003907209262251854,0.8481295108795166,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_113_3440509.jpg,3,Glaucoma,3,Glaucoma,0.9151928424835205,True,0.03947528824210167,0.045161809772253036,0.00017000430671032518,0.9151928424835205,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_401_6044320.jpg,3,Glaucoma,3,Glaucoma,0.8937643766403198,True,0.0013633334310725331,0.10480038821697235,7.191947952378541e-05,0.8937643766403198,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_377_8059232.jpg,3,Glaucoma,3,Glaucoma,0.985893964767456,True,0.005475882440805435,0.00807730108499527,0.000552869401872158,0.985893964767456,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1426_left.jpg,3,Glaucoma,0,Normal,0.5406778454780579,False,0.5406778454780579,0.010436099953949451,0.02857552282512188,0.42031052708625793,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\Glaucoma_086.png,3,Glaucoma,3,Glaucoma,0.7986255884170532,True,0.017370527610182762,0.00014420242223422974,0.1838596910238266,0.7986255884170532,True,Correct Glaucoma
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1419_left.jpg,3,Glaucoma,0,Normal,0.6590420603752136,False,0.6590420603752136,0.00013531434524338692,0.005039106588810682,0.335783451795578,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1465_right.jpg,3,Glaucoma,0,Normal,0.7765135169029236,False,0.7765135169029236,0.05104104056954384,0.012882519513368607,0.1595628708600998,False,Glaucoma misclassified as Normal
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_355_9019995.jpg,3,Glaucoma,3,Glaucoma,0.995151162147522,True,0.0023399267811328173,0.00249579013325274,1.317188889515819e-05,0.995151162147522,True,Correct Glaucoma
