image_path,true_label,true_class_name,predicted_class,predicted_class_name,confidence
..\dataset\Messidor-2+EyePac_Balanced\3\33840_left.jpeg,3,Class 3,4,Class 4,0.36712631583213806
..\dataset\Messidor-2+EyePac_Balanced\0\20060407_43834_0200_PP.png,0,Class 0,2,Class 2,0.36983123421669006
..\dataset\Messidor-2+EyePac_Balanced\2\20060412_58471_0200_PP.png,2,Class 2,4,Class 4,0.3921804130077362
..\dataset\Messidor-2+EyePac_Balanced\0\20060410_44601_0200_PP.png,0,Class 0,1,Class 1,0.3938433527946472
..\dataset\Messidor-2+EyePac_Balanced\3\20060410_43698_0200_PP.png,3,Class 3,4,Class 4,0.41853395104408264
..\dataset\Messidor-2+EyePac_Balanced\0\20060523_49745_0100_PP.png,0,Class 0,1,Class 1,0.4346991777420044
..\dataset\Messidor-2+EyePac_Balanced\0\20060523_50631_0100_PP.png,0,Class 0,2,Class 2,0.43620479106903076
..\dataset\Messidor-2+EyePac_Balanced\1\20060412_58965_0200_PP.png,1,Class 1,2,Class 2,0.4396496117115021
..\dataset\Messidor-2+EyePac_Balanced\1\20060412_59658_0200_PP.png,1,Class 1,0,Class 0,0.43995314836502075
..\dataset\Messidor-2+EyePac_Balanced\3\44200_right.jpeg,3,Class 3,4,Class 4,0.44032469391822815
..\dataset\Messidor-2+EyePac_Balanced\1\20051207_62275_0400_PP - Copy.png,1,Class 1,0,Class 0,0.44799908995628357
..\dataset\Messidor-2+EyePac_Balanced\0\20060407_43856_0200_PP.png,0,Class 0,2,Class 2,0.453217089176178
..\dataset\Messidor-2+EyePac_Balanced\3\4155_left.jpeg,3,Class 3,4,Class 4,0.4640190601348877
..\dataset\Messidor-2+EyePac_Balanced\1\20051213_62188_0100_PP - Copy.png,1,Class 1,2,Class 2,0.48052215576171875
..\dataset\Messidor-2+EyePac_Balanced\1\20051207_62320_0400_PP.png,1,Class 1,2,Class 2,0.48267441987991333
..\dataset\Messidor-2+EyePac_Balanced\1\20060411_59941_0200_PP.png,1,Class 1,2,Class 2,0.48486214876174927
..\dataset\Messidor-2+EyePac_Balanced\3\20051212_41169_0400_PP.png,3,Class 3,2,Class 2,0.48668935894966125
..\dataset\Messidor-2+EyePac_Balanced\0\20051216_46183_0200_PP.png,0,Class 0,2,Class 2,0.48857057094573975
..\dataset\Messidor-2+EyePac_Balanced\1\20060412_52020_0200_PP.png,1,Class 1,2,Class 2,0.4925696551799774
..\dataset\Messidor-2+EyePac_Balanced\0\IM000107.JPG,0,Class 0,2,Class 2,0.4930683374404907
..\dataset\Messidor-2+EyePac_Balanced\4\20051213_62648_0100_PP.png,4,Class 4,2,Class 2,0.49719545245170593
..\dataset\Messidor-2+EyePac_Balanced\1\20060412_51656_0200_PP.png,1,Class 1,0,Class 0,0.5002866387367249
..\dataset\Messidor-2+EyePac_Balanced\1\20060411_61060_0200_PP.png,1,Class 1,2,Class 2,0.5102511048316956
..\dataset\Messidor-2+EyePac_Balanced\1\20060412_63032_0200_PP.png,1,Class 1,2,Class 2,0.522287130355835
..\dataset\Messidor-2+EyePac_Balanced\1\20051216_45899_0200_PP.png,1,Class 1,2,Class 2,0.5223125219345093
..\dataset\Messidor-2+EyePac_Balanced\4\40078_left.jpeg,4,Class 4,3,Class 3,0.5287396311759949
..\dataset\Messidor-2+EyePac_Balanced\1\20060410_39976_0200_PP.png,1,Class 1,2,Class 2,0.5312135815620422
